model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,train,99.7249,63.6808,0.7089,False,../models/dt_10_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,val,110.7288,68.4485,0.6426,False,../models/dt_10_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,test,112.5462,70.479,0.636,False,../models/dt_10_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,train,101.2052,64.5011,0.7002,False,../models/dt_10_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,val,111.1187,68.4623,0.64,False,../models/dt_10_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,test,111.0699,70.0711,0.6455,False,../models/dt_10_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,train,103.9568,65.9088,0.6837,False,../models/dt_10_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,val,111.5915,69.0106,0.637,False,../models/dt_10_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,test,110.6388,69.9017,0.6483,False,../models/dt_10_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,train,98.5607,62.9865,0.7157,False,../models/dt_10_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,val,109.8937,67.8419,0.6479,False,../models/dt_10_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,test,112.4113,70.1806,0.6369,False,../models/dt_10_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,train,99.7249,63.6808,0.7089,False,../models/dt_10_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,val,110.7301,68.4479,0.6425,False,../models/dt_10_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,test,112.5494,70.484,0.636,False,../models/dt_10_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,train,101.2052,64.5011,0.7002,False,../models/dt_10_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,val,111.1211,68.4653,0.64,False,../models/dt_10_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,test,111.0699,70.0711,0.6455,False,../models/dt_10_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,train,103.9568,65.9088,0.6837,False,../models/dt_10_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,val,111.5915,69.0106,0.637,False,../models/dt_10_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,test,110.6388,69.9017,0.6483,False,../models/dt_10_depth_10_minsplit_20_minleaf_hot.pkl
