model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=10)",hot,test,100.1331,61.6937,0.7119,False,../models/rf_200_estimators_None_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=20)",hot,train,93.1556,57.2116,0.746,False,../models/rf_200_estimators_None_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=20)",hot,val,103.0074,63.1535,0.6907,False,../models/rf_200_estimators_None_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=20)",hot,test,103.374,64.209,0.6929,False,../models/rf_200_estimators_None_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=1)",hot,train,68.7528,42.1964,0.8617,False,../models/rf_200_estimators_None_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=1)",hot,val,95.1038,57.6541,0.7363,False,../models/rf_200_estimators_None_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=1)",hot,test,95.5435,58.8559,0.7377,False,../models/rf_200_estimators_None_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,train,76.9773,46.0808,0.8266,False,../models/rf_200_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,val,97.5647,58.8795,0.7225,False,../models/rf_200_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,test,98.0801,60.1779,0.7236,False,../models/rf_200_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,train,82.7045,49.9363,0.7998,False,../models/rf_200_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,val,99.6282,60.3694,0.7106,False,../models/rf_200_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,test,100.03,61.6734,0.7125,False,../models/rf_200_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,train,93.1278,57.191,0.7462,False,../models/rf_200_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,val,102.9893,63.118,0.6908,False,../models/rf_200_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,test,103.2475,64.2073,0.6937,False,../models/rf_200_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,train,76.5392,47.3462,0.8286,False,../models/rf_200_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,val,97.3263,59.277,0.7238,False,../models/rf_200_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,test,97.6102,60.4598,0.7262,False,../models/rf_200_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,train,82.3571,50.0029,0.8015,False,../models/rf_200_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,val,99.1591,60.1803,0.7133,False,../models/rf_200_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,test,99.6588,61.4794,0.7146,False,../models/rf_200_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,train,86.2101,52.4074,0.7825,False,../models/rf_200_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,val,100.3612,61.0551,0.7064,False,../models/rf_200_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,test,101.0247,62.3949,0.7067,False,../models/rf_200_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,train,93.1363,57.1905,0.7461,False,../models/rf_200_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,val,102.9173,63.1081,0.6912,False,../models/rf_200_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,test,103.3565,64.1536,0.693,False,../models/rf_200_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,train,92.0536,59.8206,0.752,False,../models/rf_200_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,val,103.6558,64.6568,0.6868,False,../models/rf_200_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,test,104.8477,66.5779,0.6841,False,../models/rf_200_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,train,95.4374,61.081,0.7334,False,../models/rf_200_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,val,104.6217,65.1434,0.6809,False,../models/rf_200_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,test,105.7682,66.9712,0.6785,False,../models/rf_200_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,train,98.1358,62.3912,0.7181,False,../models/rf_200_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,val,105.5154,65.5557,0.6754,False,../models/rf_200_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,test,106.3321,67.2651,0.6751,False,../models/rf_200_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,train,100.9531,63.841,0.7017,False,../models/rf_200_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,val,106.6412,66.312,0.6685,False,../models/rf_200_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,test,107.1993,67.7222,0.6698,False,../models/rf_200_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,train,93.843,60.7805,0.7423,False,../models/rf_200_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,val,104.1809,65.0444,0.6836,False,../models/rf_200_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,test,105.2409,66.9275,0.6817,False,../models/rf_200_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,train,95.4154,61.0853,0.7336,False,../models/rf_200_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,val,104.6592,65.1528,0.6807,False,../models/rf_200_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,test,105.784,66.9817,0.6785,False,../models/rf_200_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,train,98.0326,62.3263,0.7187,False,../models/rf_200_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,val,105.4124,65.5124,0.6761,False,../models/rf_200_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,test,106.1758,67.1849,0.6761,False,../models/rf_200_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,train,101.0309,63.9213,0.7013,False,../models/rf_200_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,val,106.8099,66.424,0.6674,False,../models/rf_200_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,test,107.1855,67.7684,0.6699,False,../models/rf_200_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,train,95.6932,61.6785,0.732,False,../models/rf_200_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,val,104.8102,65.3633,0.6797,False,../models/rf_200_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,test,105.6119,67.1591,0.6795,False,../models/rf_200_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,train,96.9795,61.9136,0.7248,False,../models/rf_200_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,val,105.0688,65.4333,0.6782,False,../models/rf_200_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,test,106.0025,67.1352,0.6771,False,../models/rf_200_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,train,98.0601,62.3349,0.7186,False,../models/rf_200_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,val,105.5446,65.5381,0.6752,False,../models/rf_200_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,test,106.2045,67.2161,0.6759,False,../models/rf_200_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,train,101.0517,63.9485,0.7012,False,../models/rf_200_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,val,106.7891,66.4239,0.6675,False,../models/rf_200_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,test,107.2121,67.7857,0.6697,False,../models/rf_200_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,train,97.2731,62.4535,0.7231,False,../models/rf_200_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,val,105.1379,65.6308,0.6777,False,../models/rf_200_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,test,105.8391,67.3117,0.6781,False,../models/rf_200_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,train,98.2742,62.6314,0.7174,False,../models/rf_200_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,val,105.5845,65.7798,0.675,False,../models/rf_200_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,test,106.3317,67.3411,0.6751,False,../models/rf_200_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,train,98.9794,62.8426,0.7133,False,../models/rf_200_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,val,105.8173,65.723,0.6736,False,../models/rf_200_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,test,106.446,67.3866,0.6744,False,../models/rf_200_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,train,101.1371,63.9781,0.7006,False,../models/rf_200_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,val,106.7607,66.4156,0.6677,False,../models/rf_200_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,test,107.2686,67.7549,0.6694,False,../models/rf_200_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,train,42.2823,27.9168,0.9477,False,../models/rf_200_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,val,89.3685,53.7437,0.7672,False,../models/rf_200_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,test,89.7941,54.8236,0.7683,False,../models/rf_200_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,train,70.1472,42.1294,0.856,False,../models/rf_200_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,val,95.9429,57.8944,0.7316,False,../models/rf_200_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,test,96.5676,59.175,0.732,False,../models/rf_200_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,train,83.1983,50.556,0.7974,False,../models/rf_200_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,val,99.5878,60.4172,0.7109,False,../models/rf_200_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,test,100.2444,61.9522,0.7112,False,../models/rf_200_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,train,93.1884,57.3327,0.7459,False,../models/rf_200_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,val,102.883,63.1082,0.6914,False,../models/rf_200_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,test,103.2967,64.1758,0.6934,False,../models/rf_200_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,train,58.9751,37.4003,0.8982,False,../models/rf_200_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,val,92.5952,56.0587,0.75,False,../models/rf_200_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,test,93.261,57.5117,0.7501,False,../models/rf_200_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,train,70.2255,42.2326,0.8557,False,../models/rf_200_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,val,96.1573,57.9292,0.7304,False,../models/rf_200_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,test,96.7782,59.3031,0.7309,False,../models/rf_200_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,train,83.1961,50.5973,0.7974,False,../models/rf_200_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,val,99.6684,60.5266,0.7104,False,../models/rf_200_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,test,100.2514,61.9676,0.7112,False,../models/rf_200_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,train,93.2529,57.3519,0.7455,False,../models/rf_200_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,val,102.994,63.1638,0.6907,False,../models/rf_200_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,test,103.3817,64.3106,0.6929,False,../models/rf_200_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,train,71.3865,44.8914,0.8509,False,../models/rf_200_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,val,95.9926,58.5369,0.7314,False,../models/rf_200_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,test,96.3968,59.8711,0.733,False,../models/rf_200_estimators_20_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,train,78.0523,47.497,0.8217,False,../models/rf_200_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,val,97.9949,59.4502,0.72,False,../models/rf_200_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,test,98.5007,60.6567,0.7212,False,../models/rf_200_estimators_20_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,train,83.1962,50.5922,0.7974,False,../models/rf_200_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,val,99.753,60.5767,0.7099,False,../models/rf_200_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,test,99.9469,61.8011,0.713,False,../models/rf_200_estimators_20_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,train,93.114,57.3062,0.7463,False,../models/rf_200_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,val,102.8452,63.046,0.6916,False,../models/rf_200_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,test,103.189,64.2007,0.694,False,../models/rf_200_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,train,78.0644,49.0044,0.8217,False,../models/rf_200_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,val,97.5955,59.806,0.7223,False,../models/rf_200_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,test,98.4225,61.1957,0.7216,False,../models/rf_200_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,train,83.1954,50.9816,0.7974,False,../models/rf_200_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,val,99.3587,60.62,0.7122,False,../models/rf_200_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,test,99.9162,61.789,0.7131,False,../models/rf_200_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,train,86.5048,52.8541,0.781,False,../models/rf_200_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,val,100.5299,61.1833,0.7054,False,../models/rf_200_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,test,100.9185,62.5374,0.7073,False,../models/rf_200_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,train,93.1497,57.2915,0.7461,False,../models/rf_200_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,val,102.9459,63.1348,0.691,False,../models/rf_200_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,test,103.2208,64.1817,0.6938,False,../models/rf_200_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,train,32.3173,19.3648,0.9694,False,../models/rf_200_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,val,88.2895,51.5191,0.7727,False,../models/rf_200_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,test,87.9079,52.4407,0.7779,False,../models/rf_200_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,train,68.3532,39.9757,0.8633,False,../models/rf_200_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,val,95.6426,57.2435,0.7333,False,../models/rf_200_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,test,96.2803,58.5685,0.7336,False,../models/rf_200_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
