model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,test,105.5008,67.0459,0.6802,False,../models/rf_100_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,train,97.059,61.9618,0.7243,False,../models/rf_100_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,val,105.284,65.5111,0.6768,False,../models/rf_100_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=5)",hot,test,106.0869,67.2223,0.6766,False,../models/rf_100_estimators_10_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,train,98.1644,62.4359,0.718,False,../models/rf_100_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,val,105.5131,65.5713,0.6754,False,../models/rf_100_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=10)",hot,test,106.2049,67.2632,0.6759,False,../models/rf_100_estimators_10_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,train,101.0517,63.9897,0.7012,False,../models/rf_100_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,val,106.7452,66.4377,0.6678,False,../models/rf_100_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=20)",hot,test,107.3263,67.8367,0.669,False,../models/rf_100_estimators_10_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,train,97.3088,62.4362,0.7229,False,../models/rf_100_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,val,105.0336,65.5249,0.6784,False,../models/rf_100_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=1)",hot,test,105.9278,67.2877,0.6776,False,../models/rf_100_estimators_10_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,train,98.3634,62.6598,0.7168,False,../models/rf_100_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,val,105.666,65.823,0.6745,False,../models/rf_100_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=5)",hot,test,106.3738,67.3752,0.6749,False,../models/rf_100_estimators_10_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,train,99.1606,62.8454,0.7122,False,../models/rf_100_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,val,105.8657,65.6626,0.6733,False,../models/rf_100_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=10)",hot,test,106.4798,67.3172,0.6742,False,../models/rf_100_estimators_10_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,train,101.0542,63.9297,0.7011,False,../models/rf_100_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,val,106.8434,66.4425,0.6672,False,../models/rf_100_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,test,107.2614,67.7411,0.6694,False,../models/rf_100_estimators_10_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,train,42.6346,28.1227,0.9468,False,../models/rf_100_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,val,89.5724,53.8101,0.7661,False,../models/rf_100_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,test,90.0393,54.9667,0.767,False,../models/rf_100_estimators_20_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,train,70.237,42.2852,0.8556,False,../models/rf_100_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,val,96.4117,58.0408,0.729,False,../models/rf_100_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,test,96.8725,59.3344,0.7303,False,../models/rf_100_estimators_20_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,train,83.1403,50.5549,0.7977,False,../models/rf_100_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,val,99.5334,60.4989,0.7112,False,../models/rf_100_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,test,100.176,61.8881,0.7116,False,../models/rf_100_estimators_20_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,train,93.1705,57.367,0.7459,False,../models/rf_100_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,val,102.9586,63.1391,0.691,False,../models/rf_100_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,test,103.316,64.2427,0.6933,False,../models/rf_100_estimators_20_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,train,59.3556,37.5773,0.8969,False,../models/rf_100_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,val,92.9577,56.427,0.7481,False,../models/rf_100_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,test,93.5848,57.6145,0.7483,False,../models/rf_100_estimators_20_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,train,70.2132,42.2596,0.8557,False,../models/rf_100_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,val,96.0813,57.8753,0.7309,False,../models/rf_100_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,test,96.7469,59.2734,0.731,False,../models/rf_100_estimators_20_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,train,83.2722,50.6193,0.7971,False,../models/rf_100_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,val,99.7806,60.5212,0.7097,False,../models/rf_100_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,test,100.3306,61.9453,0.7107,False,../models/rf_100_estimators_20_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,train,93.2935,57.3567,0.7453,False,../models/rf_100_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,val,102.9226,63.1191,0.6912,False,../models/rf_100_estimators_20_depth_10_minsplit_20_minleaf_hot.pkl
